millis_ms,date,time,lat,lon,mag_x,mag_y,mag_z,mag_total,heading_deg,front_dist_cm,mag_samples,was_moving,ir_temp_c
7735,2026-07-23,10:52:11,46.770402,23.591206,-171.9,679.9,1403.0,1568.5,104,999,5,0,21.22
10196,2026-07-23,10:52:13,46.770401,23.591212,-88.6,717.8,1400.0,1575.8,97,999,5,0,21.02
12682,2026-07-23,10:52:15,46.7704,23.591222,31.0,663.6,1386.8,1537.7,87,330,5,0,21.28
15276,2026-07-23,10:52:18,46.7704,23.591232,159.4,703.0,1456.0,1624.7,77,999,5,0,21.16
17716,2026-07-23,10:52:20,46.770401,23.591243,139.8,696.4,1402.0,1571.6,79,311,5,0,21.4
19945,2026-07-23,10:52:23,46.770401,23.591249,-45.2,766.1,1453.3,1643.5,93,999,5,0,21.17
22447,2026-07-23,10:52:25,46.770401,23.591253,143.0,694.9,1361.2,1535.0,78,999,5,0,21.08
24795,2026-07-23,10:52:28,46.770403,23.591265,63.8,740.5,1444.9,1624.8,85,999,5,0,21.29
27264,2026-07-23,10:52:30,46.770402,23.59127,8.4,713.7,1390.9,1563.3,89,999,5,0,21.27
29634,2026-07-23,10:52:32,46.770403,23.59128,26.0,700.9,1365.9,1535.4,88,101,5,0,21.32
32033,2026-07-23,10:52:35,46.770402,23.591293,-59.6,660.0,1319.0,1476.1,95,999,5,0,21.33
34587,2026-07-23,10:52:37,46.770403,23.591297,-2.4,653.9,1298.7,1454.0,90,999,5,0,21.32
37067,2026-07-23,10:52:40,46.770403,23.591309,-33.5,719.6,1419.5,1591.8,93,999,5,0,21.34
39457,2026-07-23,10:52:42,46.770402,23.591318,90.4,677.5,1380.5,1540.4,82,999,5,0,21.23
42024,2026-07-23,10:52:45,46.770404,23.591326,269.7,674.1,1415.4,1590.8,68,999,5,0,21.15
44407,2026-07-23,10:52:47,46.770405,23.59133,72.0,684.1,1373.1,1535.8,84,999,5,0,21.3
46887,2026-07-23,10:52:50,46.770405,23.591341,39.3,683.4,1390.2,1549.6,87,112,5,0,21.27
49370,2026-07-23,10:52:52,46.770404,23.591351,6.7,708.1,1352.6,1526.7,89,999,5,0,21.3
